,from_to,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16
0,Austria-Belgium,16057.64103799999,18098.93637299999,18973.999728,18106.72200599999,18897.37578100001,26438.79557999998,16824.46357499999,18023.488648,15072.222099,11486.422239,14585.955052,13553.95132000001,18725.890682,20458.31919600002,19710.69857099999,16181.510769
1,Austria-Croatia,20532.902045,20165.98611099999,22348.22732099999,20277.61573799998,19320.24162600001,412182.6809260004,626656.1781749995,556201.1832199993,415515.9717509994,261962.976658,289957.3129439997,316152.8434360003,360210.2915560001,425285.6265029999,390689.6862330002,18895.17412699999
2,Austria-Denmark,18775.33988800001,23942.44149299999,31884.72776300002,25506.74594900001,32301.44262899996,92613.71406800004,100652.43779,76867.436187,26657.130959,17748.494693,19477.74730899998,23250.522389,19515.22428199999,21466.026753,21177.90526899997,24012.75171799998
3,Austria-France,8900.132538000002,9322.388710000008,4497.497488000002,4539.64068,8006.884121,7981.017506000009,5544.962583999995,2056.005396,281.467575,566.7498289999991,216.0997380000001,0.0,1.192384,0.6152839999999999,0.0,6954.843818999996
4,Austria-Greece,1577.863218000002,1837.144737000001,505.4255819999999,258.6327339999999,336.5561750000002,68461.102076,113747.297802,106041.3142960002,100152.7018140001,82647.38249399998,89455.81824899997,67250.69974099999,63360.86118699994,86412.72981599999,87423.52425199993,2226.157612000001
5,Austria-Hungary,34193.87956399997,34223.45744399994,35928.32745100003,35471.27173399998,27512.366824,659692.0121840002,929440.5501760005,890723.7556880001,891733.4216079998,738116.6356250003,856455.9721549996,871185.6178870001,833273.099814,898386.1555199992,909727.2448349996,32390.62349799994
6,Austria-Ireland,542.5682120000002,635.7937320000011,701.6989580000001,1132.023531000002,464.8079900000003,794.262094000001,246.182172,235.3618119999998,183.4464700000001,181.0553479999999,177.2303150000001,206.7160279999999,150.6161880000001,150.9799280000001,143.2432959999998,544.0342410000004
7,Austria-Israel,779.4675340000002,939.145006,1634.430752000001,602.4965000000004,984.579474,1109.773381999999,165941.443568,226825.3046920002,216948.1166609998,156722.5654989999,197979.0781450001,213245.9658589996,177961.827289,183205.4733299999,179218.1117519999,756.0081459999999
8,Austria-Italy,799.7099690000006,6388.630986999997,8154.308772999992,1621.090768999997,994.244784,17683.240439,37881.75346000003,39606.79758199999,32142.30260900003,28769.892604,22519.88208599999,17248.42372600001,20147.924319,21641.23320000002,22667.51660100002,420.7537359999997
9,Austria-Luxembourg,184.1356280000003,0.0,18.78883800000001,87.24410900000012,102.9315130000001,158.158877,81.63132600000007,89.68571800000005,159.158603,47.78954700000002,26.333103,0.091601,0.0,0.006298,0.002699,0.0
10,Austria-Netherlands,5692.536943999993,5513.541438999993,7914.579079000006,7432.178171000003,6691.809527000001,12795.68873400001,7563.399672000003,11828.69325800001,7444.300684000007,9127.262552999991,8080.00876400001,6175.174674,7276.294973999993,7745.015143000001,8247.385737999995,4848.600220999997
11,Austria-New York (USA),24155.35950700003,17492.120323,19702.21866500003,19455.17259200002,6738.351856000001,8411.615521999998,6732.874149000001,5707.773807000004,3294.875193000003,2251.302152000003,1717.278683000001,1976.252032,1953.422628,2248.145832000001,2139.338951000002,20003.536214
12,Austria-Poland,27.92079499999999,70.75173700000003,360.445015,25.88134399999999,358.5304039999998,110.2441039999998,162.5247360000002,0.52655,0.397555,15.736993,16.176776,16.39231299999999,94.64390399999984,0.0,0.0,28.03066700000003
13,Austria-Portugal,853.0093499999987,620.1788639999995,1260.37928,915.1433100000004,1170.466937,1825.443750999999,368.0826820000002,1072.256063,808.9948100000005,561.8760380000003,413.4380360000004,373.436459,328.9825479999998,540.3258030000002,605.1662990000003,1378.39426
14,Austria-Slovenia,21373.08681000002,21363.49112700003,22137.57541000002,23537.51451799999,20649.74098700001,510292.3851070003,925872.0288280004,904682.808077999,863571.8330909993,734890.4574960002,940278.7434569992,1034513.866959,1095430.56107,1144162.131552999,1143239.407931001,18130.21564400002
15,Austria-Spain,2520.839473000003,2782.578763,3054.381194999999,3153.036043000003,2328.810645,15046.096977,9415.702977999988,75.29754999999994,152.3701520000001,61.19767600000004,424.491583,571.5550700000001,370.6642509999999,271.8035539999998,236.4320030000002,3159.356653999997
16,Austria-Sweden,14044.89785799999,16880.04104499998,16865.94723200001,17456.552346,26108.58600599999,503508.0165950001,732642.5204369996,735813.9628350002,698176.5136590002,533137.1740530002,520705.3930339995,475244.9475199993,421467.7998319993,604721.6138909995,629991.3625379998,14250.92764999999
